productionMethod,equipment (amoritized $/season?),seed (kg/km),nitrogen fertilizer (kg/km),carbon (ton/km),soil (ton/km),labour (h/season),certification ($/season),amt (kg/km)
durumWheatConventional,-100000,-5,-10,20,-5,2000,0,40
durumWheatGreen,-100000,-4,0,5,-2,4000,5000,40
softWheatConventional,-100000,-6,-10,20,-5,2000,0,40
softWheatGreen,-100000,-4,0,5,2,4000,5000,40
maizeConventional,-100000,-8,-10,20,4,2000,0,40
maizeGreen,-100000,-7,0,5,6,4000,5000,40
sunflowerSeedsConventional,-100000,-5,-10,20,6,2000,0,40
sunflowerSeedsGreen,-100000,-6,0,5,7,4000,5000,40
barleyConventional,-100000,-9,-10,20,-7,2000,0,40
barleyGreen,-100000,-8,0,5,6,4000,5000,40
