run_id,time,durumWheatConventional,durumWheatGreen
1898166948,4,467,232
1509337232,19,219,480
2557349799,24,234,465
4267890391,37,238,461
4267890391,4,474,225
2801228230,30,234,465
2121459365,25,228,471
415357195,8,236,463
2017528644,45,197,502
1898166948,19,221,478
2647173381,8,234,465
1647985775,15,220,479
4207336717,26,229,470
1041520459,3,450,249
2433905624,18,223,476
4207336717,25,227,472
2219985636,3,457,242
1879065471,37,216,483
2121459365,8,231,468
1557654078,42,206,493
3410533839,6,260,439
2557967164,39,234,465
1902205865,43,242,457
2221769679,31,215,484
1281254876,11,246,453
323091197,38,208,491
1009150936,0,426,273
3083513699,46,231,468
3874266492,45,246,453
2173063881,5,233,466
4116213835,0,450,249
3800403677,42,236,463
2969498230,26,227,472
512164377,31,240,459
358354475,29,254,445
2332992693,37,223,476
1893036085,40,237,462
2017528644,25,230,469
4083042477,33,210,489
512164377,7,221,478
2219985636,14,231,468
3276788916,38,238,461
1250187854,33,213,486
3406353272,15,214,485
1970249644,5,234,465
1902358880,37,237,462
2647173381,34,219,480
4203269209,33,208,491
1250187854,46,240,459
1041520459,5,245,454
3406353272,36,218,481
4267890391,31,219,480
2390597056,28,228,471
415357195,9,230,469
3366122944,46,223,476
3133452938,45,237,462
924572065,33,233,466
538500516,24,232,467
1937319041,0,450,249
2350897887,0,428,271
3580381133,38,241,458
2557349799,27,223,476
2219263997,6,264,435
2219263997,12,224,475
2221769679,33,227,472
4267890391,33,225,474
3276788916,19,206,493
2860951791,46,239,460
1265005657,7,217,482
726864470,43,224,475
2429117700,16,232,467
1379064823,5,251,448
1265005657,10,240,459
3410533839,3,421,278
415357195,27,223,476
1575427247,49,217,482
47450054,44,242,457
2221769679,42,217,482
621375267,20,208,491
1549085988,27,228,471
1898166948,20,211,488
466317251,31,223,476
181622617,24,241,458
3918639579,40,211,488
3171985119,37,225,474
2859181308,31,219,480
3607049655,0,451,248
2541698712,44,211,488
1702317242,37,227,472
4083042477,30,216,483
2812336726,46,242,457
2414403033,30,218,481
3753183373,27,233,466
3798497235,36,215,484
47450054,24,229,470
3924877335,20,220,479
3012298850,14,210,489
1549085988,37,239,460
1893036085,30,244,455
2969498230,20,242,457
3798497235,45,223,476
496349895,2,437,262
2173063881,45,200,499
2219985636,16,201,498
3874266492,1,431,268
3753183373,33,207,492
3346480866,26,207,492
541310921,22,209,490
4267890391,15,220,479
1549085988,25,220,479
2088317157,14,243,456
2859181308,32,237,462
3800403677,19,220,479
3580381133,15,234,465
1009150936,12,225,474
4116213835,24,211,488
621375267,4,435,264
1240041043,49,222,477
1755647633,41,243,456
4203269209,43,219,480
3366122944,29,227,472
3406353272,32,237,462
1549085988,47,223,476
3012298850,1,464,235
1805821066,35,246,453
496349895,10,227,472
1250187854,20,242,457
1337306660,22,215,484
2969498230,37,214,485
1902358880,27,221,478
3800403677,0,440,259
592324107,10,230,469
676204689,2,445,254
2219263997,9,234,465
621375267,37,242,457
2414403033,28,237,462
3012298850,42,232,467
3874266492,27,228,471
538500516,1,435,264
1136919814,6,258,441
1549085988,14,229,470
1898166948,16,218,481
496349895,46,242,457
2860951791,44,214,485
1337306660,10,254,445
1535083644,49,228,471
2414403033,21,227,472
2017528644,31,252,447
2647173381,32,220,479
3753183373,34,229,470
1805821066,11,236,463
1009150936,33,219,480
1240041043,33,222,477
2088317157,13,234,465
1535083644,22,221,478
1337306660,33,220,479
4116213835,37,217,482
2121459365,14,230,469
3008811035,22,216,483
676204689,8,231,468
1250187854,37,226,473
4116213835,21,257,442
1893036085,20,229,470
4122185879,45,206,493
1870345905,23,225,474
3580381133,36,225,474
1009150936,2,466,233
1549085988,28,245,454
47450054,35,215,484
4207336717,24,224,475
1017374739,29,237,462
924572065,4,452,247
1240041043,6,267,432
2332992693,5,255,444
2121459365,28,215,484
1202484295,46,247,452
1202484295,47,206,493
3083513699,7,225,474
924572065,11,217,482
3171985119,8,210,489
1702317242,45,254,445
3924877335,15,234,465
868092388,20,226,473
2666071234,43,211,488
1009150936,39,225,474
1265005657,37,244,455
320580869,12,206,493
4116213835,13,247,452
1805821066,41,238,461
1755647633,42,225,474
4207336717,1,450,249
2173063881,17,219,480
3133452938,32,220,479
538500516,14,226,473
2390597056,4,450,249
1902205865,35,213,486
3406353272,42,219,480
2859181308,1,449,250
466317251,40,219,480
